"nom";"image";"description"
"Défense +";"https://www.pokemontrash.com/pokedex/images/items/x-defense.png";"Monte la Défense pendant un combat.
L’effet s’estompe si le Pokémon se
retire."
"Muscle +";"https://www.pokemontrash.com/pokedex/images/items/dire-hit.png";"Monte fortement le taux de critiques.
Utilisable une seule fois. L’effet
disparaît si le Pokémon se retire."
"Défense Spéc";"https://www.pokemontrash.com/pokedex/images/items/guard-spec..png";"Empêche la réduction des stats
de tous les Pokémon de l’équipe
pendant 5 tours."
"Déf. Spé. +";"https://www.pokemontrash.com/pokedex/images/items/x-sp.-def.png";"Monte la Défense Spéciale pendant
un combat. L’effet s’estompe si le
Pokémon se retire."
"Attaque +";"https://www.pokemontrash.com/pokedex/images/items/x-attack.png";"Monte l’Attaque pendant un combat.
L’effet s’estompe si le Pokémon se
retire."
"Spécial +";"https://www.pokemontrash.com/pokedex/images/items/x-special.png";"Monte l’Attaque Spéciale pendant
un combat. L’effet s’estompe si
le Pokémon se retire."
"Précision +";"https://www.pokemontrash.com/pokedex/images/items/x-accuracy.png";"Monte la Précision pendant un combat.
L’effet s’estompe si le Pokémon se
retire."
"Vitesse +";"https://www.pokemontrash.com/pokedex/images/items/x-speed.png";"Monte la Vitesse pendant un combat.
L’effet s’estompe si le Pokémon se
retire."
"Baie Tamato";"https://www.pokemontrash.com/pokedex/images/items/tamato-berry.png";"Rend les Pokémon plus amicaux, mais
baisse leur stat Vitesse de base."
"Baie Résin";"https://www.pokemontrash.com/pokedex/images/items/grepa-berry.png";"Rend les Pokémon plus amicaux, mais
baisse leur stat Défense Spéciale de
base."
"Baie Lonme";"https://www.pokemontrash.com/pokedex/images/items/hondew-berry.png";"Rend les Pokémon plus amicaux, mais
baisse leur stat Attaque Spéciale de
base."
"Baie Qualot";"https://www.pokemontrash.com/pokedex/images/items/qualot-berry.png";"Rend les Pokémon plus amicaux, mais
baisse leur stat Défense de base."
"Baie Alga";"https://www.pokemontrash.com/pokedex/images/items/kelpsy-berry.png";"Rend les Pokémon plus amicaux, mais
baisse leur stat Attaque de base."
"Baie Grena";"https://www.pokemontrash.com/pokedex/images/items/pomeg-berry.png";"Rend les Pokémon plus amicaux, mais
baisse leurs PV de base."
"Baie Mepo";"https://www.pokemontrash.com/pokedex/images/items/leppa-berry.png";"Baie qui restaure 10 PP lorsqu’elle
est tenue par un Pokémon."
"Baie Willia";"https://www.pokemontrash.com/pokedex/images/items/aspear-berry.png";"Baie qui soigne le gel lorsqu’elle
est tenue par un Pokémon."
"Baie Fraive";"https://www.pokemontrash.com/pokedex/images/items/rawst-berry.png";"Baie qui soigne les brûlures lorsqu’elle
est tenue par un Pokémon."
"Baie Pêcha";"https://www.pokemontrash.com/pokedex/images/items/pecha-berry.png";"Baie qui soigne l’empoisonnement
lorsqu’elle est tenue par un Pokémon."
"Baie Maron";"https://www.pokemontrash.com/pokedex/images/items/chesto-berry.png";"Baie qui soigne le sommeil lorsqu’elle
est tenue par un Pokémon."
"Baie Oran";"https://www.pokemontrash.com/pokedex/images/items/oran-berry.png";"Baie qui restaure 10 PV lorsqu’elle
est tenue par un Pokémon."
"Baie Sitrus";"https://www.pokemontrash.com/pokedex/images/items/sitrus-berry.png";"Baie qui restaure quelques PV
lorsqu’elle est tenue par un Pokémon."
"Baie Prine";"https://www.pokemontrash.com/pokedex/images/items/lum-berry.png";"Baie qui soigne tous les problèmes
de statut lorsqu’elle est tenue
par un Pokémon."
"Baie Kika";"https://www.pokemontrash.com/pokedex/images/items/persim-berry.png";"Baie qui soigne la confusion lorsqu’elle
est tenue par un Pokémon."
"Baie Ceriz";"https://www.pokemontrash.com/pokedex/images/items/cheri-berry.png";"Baie qui soigne la paralysie lorsqu’elle
est tenue par un Pokémon."
"Baie Pommo";"https://www.pokemontrash.com/pokedex/images/items/rowap-berry.png";"Tenue, cette Baie inflige des dégâts
à l’ennemi s’il utilise une attaque
spéciale qui atteint son but."
